Unique mutation,Unq muts sites
250,1.836295741521157e-83
251,7.909300053575714e-84
252,3.4064814701987564e-84
253,1.467056129076642e-84
254,6.317719162190071e-85
255,2.720488906881538e-85
256,1.1714043410218658e-85
257,5.0435937471088325e-86
258,2.171435519643562e-86
259,9.348189819943259e-87
260,4.024222878629332e-87
261,1.7322502067744006e-87
262,7.456130225677435e-88
263,3.2091556971396703e-88
264,1.381155909303991e-88
265,5.9438714931378195e-89
266,2.5578264692716972e-89
267,1.1006465477535256e-89
268,4.735872242770439e-90
269,2.037640457792527e-90
270,8.766591623796982e-91
271,3.7714626424236623e-91
272,1.622425729092857e-91
273,6.979044811030802e-92
274,3.001950048916067e-92
275,1.291181851838021e-92
276,5.553259971293239e-93
277,2.3882808647518727e-93
278,1.027069318147762e-93
279,4.416632198923715e-94
280,1.8991531711997413e-94
281,8.165940074907843e-95
282,3.5109931027671964e-95
283,1.5094944143723535e-95
284,6.489495615529251e-96
285,2.789770173422625e-96
286,1.199234490547268e-96
287,5.1548750570993e-97
288,2.2156985457942894e-97
289,9.523176736734929e-98
290,4.092906305686265e-98
291,1.7589791511961443e-98
292,7.559074977891084e-99
293,3.248297719357404e-99
294,1.3957972987943035e-99
295,5.997473947004822e-100
296,2.576878924408664e-100
297,1.107132040239831e-100
298,4.7564695593063983e-101
299,2.0433843051478706e-101
300,8.777999381907534e-102
