AC,Meth level,Gamma mew,Gamma sigma,Num sites,Type
153,0,1.62e-09,5.38e-12,0.0,Data
153,0,1.62e-09,5.38e-12,0.19306266501372338,Theory
154,0,1.62e-09,5.38e-12,0.0,Data
154,0,1.62e-09,5.38e-12,0.17391886125454703,Theory
155,0,1.62e-09,5.38e-12,0.0,Data
155,0,1.62e-09,5.38e-12,0.16381152257976328,Theory
156,0,1.62e-09,5.38e-12,0.0,Data
156,0,1.62e-09,5.38e-12,0.12804607590357114,Theory
157,0,1.62e-09,5.38e-12,1.0,Data
157,0,1.62e-09,5.38e-12,0.17455109903845095,Theory
158,0,1.62e-09,5.38e-12,0.0,Data
158,0,1.62e-09,5.38e-12,0.18025127459648976,Theory
159,0,1.62e-09,5.38e-12,0.0,Data
159,0,1.62e-09,5.38e-12,0.15957468384243917,Theory
160,0,1.62e-09,5.38e-12,0.0,Data
160,0,1.62e-09,5.38e-12,0.13246932867822836,Theory
161,0,1.62e-09,5.38e-12,0.0,Data
161,0,1.62e-09,5.38e-12,0.14310296179658466,Theory
162,0,1.62e-09,5.38e-12,1.0,Data
162,0,1.62e-09,5.38e-12,0.17189129887372645,Theory
163,0,1.62e-09,5.38e-12,0.0,Data
163,0,1.62e-09,5.38e-12,0.14872669305349695,Theory
164,0,1.62e-09,5.38e-12,0.0,Data
164,0,1.62e-09,5.38e-12,0.15715466932508185,Theory
165,0,1.62e-09,5.38e-12,0.0,Data
165,0,1.62e-09,5.38e-12,0.15356800951337402,Theory
166,0,1.62e-09,5.38e-12,0.0,Data
166,0,1.62e-09,5.38e-12,0.14207971926229376,Theory
167,0,1.62e-09,5.38e-12,0.0,Data
167,0,1.62e-09,5.38e-12,0.14471863993407144,Theory
168,0,1.62e-09,5.38e-12,0.0,Data
168,0,1.62e-09,5.38e-12,0.162335198365165,Theory
169,0,1.62e-09,5.38e-12,0.0,Data
169,0,1.62e-09,5.38e-12,0.13240510189964835,Theory
170,0,1.62e-09,5.38e-12,0.0,Data
170,0,1.62e-09,5.38e-12,0.14070068452196488,Theory
171,0,1.62e-09,5.38e-12,0.0,Data
171,0,1.62e-09,5.38e-12,0.13753207794848055,Theory
172,0,1.62e-09,5.38e-12,0.0,Data
172,0,1.62e-09,5.38e-12,0.11552736000174318,Theory
173,0,1.62e-09,5.38e-12,0.0,Data
173,0,1.62e-09,5.38e-12,0.13588822154386396,Theory
174,0,1.62e-09,5.38e-12,0.0,Data
174,0,1.62e-09,5.38e-12,0.13056970723616995,Theory
175,0,1.62e-09,5.38e-12,0.0,Data
175,0,1.62e-09,5.38e-12,0.16561041391813958,Theory
176,0,1.62e-09,5.38e-12,0.0,Data
176,0,1.62e-09,5.38e-12,0.13127962032786883,Theory
177,0,1.62e-09,5.38e-12,0.0,Data
177,0,1.62e-09,5.38e-12,0.10991040777564885,Theory
178,0,1.62e-09,5.38e-12,0.0,Data
178,0,1.62e-09,5.38e-12,0.12711370428768304,Theory
179,0,1.62e-09,5.38e-12,2.0,Data
179,0,1.62e-09,5.38e-12,0.1307280136318296,Theory
180,0,1.62e-09,5.38e-12,0.0,Data
180,0,1.62e-09,5.38e-12,0.1313295436376598,Theory
